Order	Port	Parameter Assignment	Word	SubF	Supf	MSB	LSB
251	B 33	TRIM UP - A/P	167	0	0	1	1
162	A35	RUD PEDAL FORCE	168	0	0	12	1
98	A13	LONGITUDINAL ACCELERATION	173	0	0	12	3
212	B 10	IRS SELECT SW - CAPT	178	0	0	2	2
362	B113	FMC SELECT SW - CAPT	178	0	0	1	1
227	B 15	FLT CONT A HYD LOW PRESS	180	0	0	1	1
229	B 16	FLT CONT B HYD LOW PRESS	180	0	0	2	2
26	A 3	LATERAL ACCELERATION	181	0	0	12	3
157	A26	BRAKE PRESS MAIN-RT	186	0	0	12	3
263	B 40	HYD SYS A ELEC	190	0	0	2	2
264	B 41	HYD SYS B ELEC	191	0	0	2	2
265	B 42	HYD SYS STBY	192	0	0	1	1
7	A 1	VERTICAL ACCELERATION	194	0	0	12	1
64	A 7	ELEV POS-L	196	0	0	12	1
40	A 4	CONTROL COL POSN - CAPT	198	0	0	12	2
159	A33	STBY HYD OIL PRESSURE	200	0	0	12	2
72	A 8	ELEV POS-R	202	0	0	12	1
122	A16	CONTROL COL POSN - F/O	204	0	0	12	2
272	B 47	SPD BRK DO NOT ARM LIGHT	204	0	0	1	1
99	A13	LONGITUDINAL ACCELERATION	205	0	0	12	3
270	B 45	AUTO SPD BRAKE EXTEND CMD	205	0	0	1	1
271	B 46	SPEED BRAKE ARMED LIGHT	205	0	0	2	2
80	A10	AIL POS-L	209	0	0	12	1
175	B 3	VHF LT KEYING	210	0	0	1	1
183	B 4	VHF RT KEYING	210	0	0	2	2
48	A 5	CONTROL WHEEL POSN - CAPT	211	0	0	12	3
197	B 7	HF-LT KEYING	211	0	0	1	1
205	B 8	HF-RT KEYING	211	0	0	2	2
328	B101	SAT COMM #1 KEYING	212	0	0	1	1
336	B102	SAT COMM #2 KEYING	212	0	0	2	2
27	A 3	LATERAL ACCELERATION	213	0	0	12	3
222	B 13	AUTO BRAKE APPLIED	214	0	0	1	1
88	A11	AIL POS-R	215	0	0	12	1
112	A14	CONTROL WHEEL POSN - F/O	217	0	0	12	3
170	B 2	A/P WARN CAPT	222	0	0	12	12
246	B 30	WHEEL WELL FIRE	222	0	0	5	5
249	B 32	APU FIRE	222	0	0	6	6
266	B 43	RT GEAR RED WARN	222	0	0	3	3
268	B 44	NOSE GEAR RED WARN	222	0	0	2	2
341	B103	A/T WARN F/O	222	0	0	9	9
343	B104	A/T WARN CAPT	222	0	0	10	10
349	B106	ENG #2 FIRE	222	0	0	7	7
351	B107	ENG #1 FIRE	222	0	0	8	8
353	B108	LT GEAR RED WARN	222	0	0	4	4
356	B110	A/P WARN F/O	222	0	0	11	11
363	B114	LAVATORY SMOKE	222	0	0	1	1
8	A 1	VERTICAL ACCELERATION	226	0	0	12	1
281	B 62	STBY RUD VALVE POS	227	0	0	2	2
146	A20	RUD POS	229	0	0	12	1
56	A 6	RUD PEDAL POS	231	0	0	12	2
192	B 6	MASTER CAUTION	231	0	0	1	1
163	A35	RUD PEDAL FORCE	232	0	0	12	1
100	A13	LONGITUDINAL ACCELERATION	237	0	0	12	3
28	A 3	LATERAL ACCELERATION	245	0	0	12	3
153	A24	BRAKE PRESS ALT-RT	250	0	0	12	3
275	B 55	SPARE SERIES DISCRETE #B55	256	3	0	1	1
276	B 56	SPARE SERIES DISCRETE #B56	256	4	0	1	1
273	B 53	SPARE SERIES DISCRETE #B53	257	3	0	1	1
274	B 54	SPARE SERIES DISCRETE #B54	257	2	0	1	1
305	B 82	A/C TYPE LSB	257	4	1	6	6
306	B 83	A/C TYPE LSB+1	257	4	1	7	7
307	B 84	A/C TYPE LSB+2	257	4	1	8	8
308	B 85	A/C TYPE LSB+3	257	4	1	9	9
309	B 86	A/C TYPE LSB+4	257	4	1	10	10
310	B 87	A/C TYPE LSB+5	257	4	1	11	11
370	B166	A/C TYPE MSB	257	4	1	12	12
9	A 1	VERTICAL ACCELERATION	258	0	0	12	1
65	A 7	ELEV POS-L	260	0	0	12	1
215	B 11	LT MAIN GEAR AIR/GND	261	0	0	2	2
219	B 12	RT MAIN GEAR AIR/GND	261	0	0	1	1
41	A 4	CONTROL COL POSN - CAPT	262	0	0	12	2
259	B 37	AIR/GROUND	263	0	0	2	2
347	B105	NOSE GEAR AIR/GND	263	0	0	1	1
19	A 2	PITCH TRIM POSITION	264	0	0	12	1
